Series Name,Series Code,Country Name,Country Code,2018 [YR2018]
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Thailand,THA,56.0037678316517
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Timor-Leste,TLS,61.8876513619701
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Togo,TGO,33.1318512447495
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Tonga,TON,66.0735977475851
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Trinidad and Tobago,TTO,..
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Tunisia,TUN,58.3889083112435
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Turkiye,TUR,31.3815223078694
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Turkmenistan,TKM,21.0002873583358
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Turks and Caicos Islands,TCA,..
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Tuvalu,TUV,..
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Uganda,UGA,21.5513525388056
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Ukraine,UKR,53.9645794092748
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,United Arab Emirates,ARE,65.9257962668894
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,United Kingdom,GBR,32.9625368906995
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,United States,USA,15.1582483706352
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Uruguay,URY,21.3697668863319
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Uzbekistan,UZB,39.9611620983855
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Vanuatu,VUT,56.7439368078435
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,"Venezuela, RB",VEN,..
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Viet Nam,VNM,80.2404806925562
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Virgin Islands (U.S.),VIR,106.11776701504
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,West Bank and Gaza,PSE,55.439710996154
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,"Yemen, Rep.",YEM,50.1466816974903
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Zambia,ZMB,36.9309649794271
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Zimbabwe,ZWE,28.3862972637424
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Africa Eastern and Southern,AFE,28.4761072594243
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Africa Western and Central,AFW,..
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Arab World,ARB,37.0406248779122
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Caribbean small states,CSS,..
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Central Europe and the Baltics,CEB,60.8011179208998
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Early-demographic dividend,EAR,27.7800359895118
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,East Asia & Pacific,EAS,27.647096776469
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,East Asia & Pacific (excluding high income),EAP,22.6819923942794
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,East Asia & Pacific (IDA & IBRD countries),TEA,22.6679633959527
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Euro area,EMU,43.0606877167187
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Europe & Central Asia,ECS,40.9989858270616
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Europe & Central Asia (excluding high income),ECA,37.5347482761124
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Europe & Central Asia (IDA & IBRD countries),TEC,33.6385657317
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,European Union,EUU,44.4488769583572
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Fragile and conflict affected situations,FCS,26.5068320963762
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Heavily indebted poor countries (HIPC),HPC,32.6084522177301
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,High income,HIC,30.4700847173349
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,IBRD only,IBD,24.8698828350249
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,IDA & IBRD total,IBT,25.0403420929645
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,IDA blend,IDB,..
